division,district,block,cluster,school,week,teachers_registered,baseline_assessments,baseline_average_level,tutoring_calls,endline_assessments,endline_average_level
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,ALIYABAD,GOVT HPS DYABERI,2025-02-10/2025-02-16,2,12,1.5833333333333333,44,12,3.6666666666666665
KALABURAGI,BIDAR,AURAD,EKLARA,GOVT HPS EKLARA,2025-02-10/2025-02-16,1,2,2.0,0,0,
KALABURAGI,BIDAR,BIDAR,CHIMKOD,GOVT HPS FATHEPUR,2025-02-03/2025-02-09,1,0,,1,0,
KALABURAGI,BIDAR,BIDAR,CHIMKOD,GOVT HPS FATHEPUR,2025-02-17/2025-02-23,1,4,0.0,12,3,2.0
DHARWAD,VIJAYAPURA,MUDDEBIHAL,TUMBAGI,GOVT HPS FATTEPUR,2025-02-17/2025-02-23,2,0,,9,0,
KALABURAGI,KALBURGI,GULBARGA SOUTH,HONNA KIRANAGI,GOVT HPS FIROZABAD,2025-02-03/2025-02-09,1,0,,0,0,
KALABURAGI,KALBURGI,SEDAM,MOTAKPALLI,GOVT HPS GADADAN,2025-02-10/2025-02-16,1,1,4.0,0,0,
KALABURAGI,BIDAR,AURAD,GADIKUSHNOOR,GOVT HPS GADIKUSHNOOR,2025-02-10/2025-02-16,1,1,1.0,0,0,
KALABURAGI,KALBURGI,CHINCHOLI,GADILINGADALLI,GOVT HPS GADILINGADALLI,2025-02-24/2025-03-02,1,3,2.6666666666666665,0,0,
KALABURAGI,KALBURGI,CHINCHOLI,GADILINGADALLI,GOVT HPS GADILINGADALLI TANDA,2025-02-24/2025-03-02,1,2,3.0,0,0,
KALABURAGI,BIDAR,BASAVAKALYAN,HARKOOD,GOVT HPS GADLEGAON (B),2025-02-03/2025-02-09,1,3,2.3333333333333335,0,5,4.0
DHARWAD,BAGALKOT,JAMAKHANDI,GADYAL,GOVT HPS GADYAL,2025-02-10/2025-02-16,3,6,3.0,5,5,3.2
DHARWAD,BAGALKOT,JAMAKHANDI,GADYAL,GOVT HPS GADYAL,2025-02-17/2025-02-23,2,4,2.0,2,3,2.0
DHARWAD,BAGALKOT,JAMAKHANDI,GADYAL,GOVT HPS GADYAL TOTA GADYAL,2025-02-17/2025-02-23,1,3,2.0,0,0,
DHARWAD,VIJAYAPURA,MUDDEBIHAL,RAKKASAGI,GOVT HPS GALAPUJI,2025-02-03/2025-02-09,3,1,1.0,1,1,2.0
DHARWAD,VIJAYAPURA,MUDDEBIHAL,RAKKASAGI,GOVT HPS GALAPUJI,2025-02-10/2025-02-16,1,3,2.0,0,0,
DHARWAD,VIJAYAPURA,MUDDEBIHAL,RAKKASAGI,GOVT HPS GALAPUJI,2025-02-17/2025-02-23,1,2,2.5,1,0,
DHARWAD,BAGALKOT,JAMAKHANDI,HUNNUR,GOVT HPS GANDHI NAGAR HUNNUR,2025-02-10/2025-02-16,1,4,1.25,3,4,3.25
DHARWAD,BAGALKOT,JAMAKHANDI,HUNNUR,GOVT HPS GANDHI NAGAR HUNNUR,2025-02-17/2025-02-23,1,4,1.5,2,1,4.0
KALABURAGI,BIDAR,BIDAR,KUMBARWADA,GOVT HPS GANESHNAGAR,2025-02-10/2025-02-16,2,2,0.0,0,0,
KALABURAGI,BIDAR,BIDAR,KUMBARWADA,GOVT HPS GANESHNAGAR,2025-02-17/2025-02-23,2,3,0.0,25,6,3.0
DHARWAD,VIJAYAPURA,SINDAGI,HITTINAHALLI,GOVT HPS GANGANAHALLI,2025-02-10/2025-02-16,1,3,3.3333333333333335,1,9,3.4444444444444446
DHARWAD,VIJAYAPURA,SINDAGI,HITTINAHALLI,GOVT HPS GANGANAHALLI,2025-02-17/2025-02-23,1,10,2.3,12,0,
DHARWAD,VIJAYAPURA,MUDDEBIHAL,TANGADAGI,GOVT HPS GANGUR,2025-02-17/2025-02-23,2,7,3.2857142857142856,0,0,
DHARWAD,BAGALKOT,JAMAKHANDI,KUNCHANUR,GOVT HPS GANI,2025-02-10/2025-02-16,3,13,1.1538461538461537,10,13,2.3846153846153846
DHARWAD,BAGALKOT,JAMAKHANDI,KUNCHANUR,GOVT HPS GANI,2025-02-24/2025-03-02,1,3,0.0,4,0,
